ID,StartDate,StartTime,EndDate,EndTime,alpha,m2,m4,m6,m8,m10,m12,m14,m16,m18,m20
0,2017/1/1 0:00,,2017/1/1 1:00,,,5,5,5,5,5,5,5,5,5,5
1,2017/1/1 1:00,,2017/1/1 2:00,,,5,5,5,5,5,5,5,5,5,5
2,2017/1/1 2:00,,2017/1/1 3:00,,,5,5,5,5,5,5,5,5,5,5
3,2017/1/1 3:00,,2017/1/1 4:00,,,5,5,5,5,5,5,5,5,5,5
4,2017/1/1 4:00,,2017/1/1 5:00,,,5,5,5,5,5,5,5,5,5,5
5,2017/1/1 5:00,,2017/1/1 6:00,,,5,5,5,5,5,5,5,5,5,5
6,2017/1/1 6:00,,2017/1/1 7:00,,,5,5,5,5,5,5,5,5,5,5
7,2017/1/1 7:00,,2017/1/1 8:00,,,5,5,5,5,5,5,5,5,5,5
8,2017/1/1 8:00,,2017/1/1 9:00,,,5,5,5,5,5,5,5,5,5,5
9,2017/1/1 9:00,,2017/1/1 10:00,,,5,5,5,5,5,5,5,5,5,5
